,Settings — Pricing Engine Assumptions,,
,Change values in the yellow cells only. All formulas throughout the workbook reference these cells.,,
,Global Settings,,
,VAT Rate,0.2,
,Default Decora Discount %,0.55,
,Premium Margin Multiplier,2.5,
,Negotiation Margin Multiplier,2,
,Deposit %,0.5,
,Currency,GBP (£),
,Rounding Rule (decimal places),2,
,Product/Category-Specific Discount % Overrides (optional),,
,Leave blank to use the Default Decora Discount % above. Add a row per category that has a different negotiated discount.,,
,Product Category,Override Discount %,Notes
,,0.05,MyDecora category: 'Prime Plisse Cellular'. No matching sheet in trade book - confirm which Decora range this is
,Insect Screens,0.05,MyDecora category: 'Insect Screen Pleated Door (Old)'. Reasonable match
,Insect Screens,0.05,MyDecora category: 'Insect Screen Roller - Door'. Reasonable match
,Insect Screens,0.05,MyDecora category: 'Insect Screen Roller - Window'. Reasonable match
,,0.05,MyDecora category: 'Prime Roller'. No matching sheet - 'Prime' roller branding not found in trade book
,,0.05,MyDecora category: 'Prime Roller A'. No matching sheet - 'Prime' roller branding not found in trade book
,,0.05,MyDecora category: 'Prime Roller Blind'. No matching sheet - 'Prime' roller branding not found in trade book
,,0.05,MyDecora category: 'Prime Double Roller'. No matching sheet - 'Prime' roller branding not found in trade book
,,0.05,MyDecora category: 'Prime Double Roller Blind'. No matching sheet - 'Prime' roller branding not found in trade book
,,0.05,MyDecora category: 'Prime Fascia Roller'. No matching sheet - 'Prime' roller branding not found in trade book
,,0.05,MyDecora category: 'Prime Perfect Fit Roller'. No matching sheet - 'Prime' roller branding not found in trade book
,,0.05,MyDecora category: 'SOFTCELL'. Ambiguous - conflicts with 'FabricBox Softcell V-Series' at 35%. Likely a different/older SKU - confirm before mapping
,,0.05,MyDecora category: '127mm Excel Vertical Slats Only'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: 'Excel Cruze Vertical 127mm'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: 'Excel Cruze Vertical Slats Only 127mm'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: 'EXCEL ROLLER'. 'Excel' brand not found in trade book - confirm
,,0.05,MyDecora category: 'Excel Cruze Vertical 89mm'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: 'Excel Cruze Vertical Slats Only 89mm'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: 'Excel Vertical'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: 'Excel Vertical Slats Only'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: 'Excel Vogue Vertical'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: 'Excel Vogue Rigid PVC'. 'Excel' vertical brand not found in trade book - confirm
,,0.05,MyDecora category: '127mm Excel Vertical'. 'Excel' vertical brand not found in trade book - confirm
,FB Slats Only ,0.15,MyDecora category: '127mm Vertical Slats Only'. Reasonable match (or Contract Vertical - confirm)
,FB Verticals,0.15,MyDecora category: '127mm Vertical'. Reasonable match (or Contract Vertical - confirm)
,Contract Vertical,0.15,"MyDecora category: '89mm Cruze Vertical'. Cruze = vertical headrail brand - reasonable match, confirm width"
